Spawn.Date,Species,Sample_ID,Origin,Treatment,Well.Num,Num.Eggs,Initials,Notes
20201007,A.cyatherea,A.cy_23,Mahana,Wild,1,8,DC,
20201007,A.cyatherea,A.cy_23,Mahana,Wild,2,9,DC,
20201007,A.cyatherea,A.cy_23,Mahana,Wild,3,9,DC,
20201007,A.cyatherea,A.cy_23,Mahana,Wild,4,6,DC,
20201007,A.cyatherea,A.cy_23,Mahana,Wild,5,11,DC,
20201007,A.cyatherea,A.cy_23,Mahana,Wild,6,8,DC,
20201007,A.cyatherea,A.cy_23,Mahana,Wild,7,8,DC,
20201007,A.cyatherea,A.cy_23,Mahana,Wild,8,8,DC,
20201007,A.cyatherea,A.cy_23,Mahana,Wild,9,6,DC,
20201007,A.cyatherea,A.cy_23,Mahana,Wild,10,4,DC,
20201007,A.cyatherea,A.cy_23,Mahana,Wild,11,6,DC,
20201007,A.cyatherea,A.cy_23,Mahana,Wild,12,8,DC,
20201007,A.cyatherea,A.cy_23,Mahana,Wild,13,10,DC,
20201007,A.cyatherea,A.cy_23,Mahana,Wild,14,8,DC,
20201007,A.cyatherea,A.cy_23,Mahana,Wild,15,7,DC,
20201007,A.cyatherea,A.cy_23,Mahana,Wild,16,8,DC,
20201007,A.cyatherea,A.cy_23,Mahana,Wild,17,7,DC,
20201007,A.cyatherea,A.cy_23,Mahana,Wild,18,9,DC,
20201007,A.cyatherea,A.cy_23,Mahana,Wild,19,12,DC,
20201007,A.cyatherea,A.cy_23,Mahana,Wild,20,6,DC,
20201007,A.cyatherea,A.cy_23,Mahana,Wild,21,8,DC,
20201007,A.cyatherea,A.cy_23,Mahana,Wild,22,8,DC,
20201007,A.cyatherea,A.cy_23,Mahana,Wild,23,11,DC,
20201007,A.cyatherea,A.cy_23,Mahana,Wild,24,11,DC,
20201007,A.cyatherea,A.cy_29,Sofitel,Wild,1,7,DC,
20201007,A.cyatherea,A.cy_29,Sofitel,Wild,2,6,DC,
20201007,A.cyatherea,A.cy_29,Sofitel,Wild,3,7,DC,
20201007,A.cyatherea,A.cy_29,Sofitel,Wild,4,6,DC,
20201007,A.cyatherea,A.cy_29,Sofitel,Wild,5,8,DC,
20201007,A.cyatherea,A.cy_29,Sofitel,Wild,6,6,DC,
